PREFIX,LABEL,PUBLISHER
BLK,BLOCK,UNIVERSAL PRODUCTION MUSIC
BOS,BOSWORTH,UNIVERSAL PRODUCTION MUSIC
BOSA,BOSWORTH ARCHIVE,UNIVERSAL PRODUCTION MUSIC
BPM,BPM CLASSICAL SERIES,UNIVERSAL PRODUCTION MUSIC
BPM,BPM EXPLORER SERIES,UNIVERSAL PRODUCTION MUSIC
BPM,BPM SCORE MUSIC SERIES,UNIVERSAL PRODUCTION MUSIC
BR,BRUTON,UNIVERSAL PRODUCTION MUSIC
BTV,BTV/PITCH,UNIVERSAL PRODUCTION MUSIC
BURN,BURN,UNIVERSAL PRODUCTION MUSIC
BV,BRUTON VAULTS,UNIVERSAL PRODUCTION MUSIC
BVA,BRUTON VAULTS ANTHOLOGIES,UNIVERSAL PRODUCTION MUSIC
CGS,CHAPPELL GRAND STAGE,UNIVERSAL PRODUCTION MUSIC
CHAP,CHAPPELL,UNIVERSAL PRODUCTION MUSIC
CHAPAV,CHAPPELL AV,UNIVERSAL PRODUCTION MUSIC
CHAPC,CHAPPELL CLASSICAL,UNIVERSAL PRODUCTION MUSIC
CHAPWR,CHAPPELL WORLD,UNIVERSAL PRODUCTION MUSIC
CHUCKD,CHUCK D PRESENTS,UNIVERSAL PRODUCTION MUSIC
CM,CHRONIC TRAX,UNIVERSAL PRODUCTION MUSIC
CNCT,CONNECT,UNIVERSAL PRODUCTION MUSIC
CNOIR,CHAPPELL NOIR,UNIVERSAL PRODUCTION MUSIC
COHH,CHRONICLES OF HIP HOP,UNIVERSAL PRODUCTION MUSIC
CSPOTS,CHAPPELL SPOTS,UNIVERSAL PRODUCTION MUSIC
CUTE,CUTE MUSIC,UNIVERSAL PRODUCTION MUSIC
DF,DARKFLY,UNIVERSAL PRODUCTION MUSIC
DGPM,DEUTSCHE GRAMMOPHON PM,UNIVERSAL PRODUCTION MUSIC
DM,DISCOVERY MUSIC,UNIVERSAL PRODUCTION MUSIC
EDGE,KILLER EDGE,UNIVERSAL PRODUCTION MUSIC
EVO,EVO,UNIVERSAL PRODUCTION MUSIC
FC,FIRSTCOM POWERPLAY ARCHIVE,UNIVERSAL PRODUCTION MUSIC
FC-A TO FC-Z,FIRSTCOM,UNIVERSAL PRODUCTION MUSIC
FCAN,FCANIMATED,UNIVERSAL PRODUCTION MUSIC
FCD,FOCUS,UNIVERSAL PRODUCTION MUSIC
FCLB,FOCUS CLUB,UNIVERSAL PRODUCTION MUSIC
FCLS,FOCUS CLASSICS,UNIVERSAL PRODUCTION MUSIC
FCSG,FOCUS SONGS,UNIVERSAL PRODUCTION MUSIC
FLEX,FLEXITRACKS,UNIVERSAL PRODUCTION MUSIC
FRX,FRESHWORX,UNIVERSAL PRODUCTION MUSIC
GAL,GALERIE,UNIVERSAL PRODUCTION MUSIC
GM,GOTHAM LIBRARY,UNIVERSAL PRODUCTION MUSIC
GMS,GRAND MUSIC SOCIETY,UNIVERSAL PRODUCTION MUSIC
GTP,GUM TAPES,UNIVERSAL PRODUCTION MUSIC
HITS,GREATEST HITS,UNIVERSAL PRODUCTION MUSIC
HM,HOLLYWOOD MUSIC,UNIVERSAL PRODUCTION MUSIC
ICON,ICON TRAILER MUSIC,UNIVERSAL PRODUCTION MUSIC
IRL,IN REALITY,UNIVERSAL PRODUCTION MUSIC
KA,KILLER ANIMATION,UNIVERSAL PRODUCTION MUSIC
KAR,KOSINUS ARTS,UNIVERSAL PRODUCTION MUSIC
KAS,KILLER ARTIST SERIES,UNIVERSAL PRODUCTION MUSIC
KCL,KOSINUS CLASSICAL,UNIVERSAL PRODUCTION MUSIC
KL,KILLER LATINO,UNIVERSAL PRODUCTION MUSIC
KLA,KOKA CLASSICAL,UNIVERSAL PRODUCTION MUSIC
KOA,KOSINUS ARCHIVES,UNIVERSAL PRODUCTION MUSIC
KOK,KOKA,UNIVERSAL PRODUCTION MUSIC
KOL,KOSINUS WORLD,UNIVERSAL PRODUCTION MUSIC
KOM,KOSINUS MAGAZINE,UNIVERSAL PRODUCTION MUSIC
KOS,KOSINUS,UNIVERSAL PRODUCTION MUSIC
KS,KILLER SCORES SET,UNIVERSAL PRODUCTION MUSIC
KT,KILLER TRACKS,UNIVERSAL PRODUCTION MUSIC
KTP,KILLER PROMOS,UNIVERSAL PRODUCTION MUSIC
KTST,KILLER STAGE AND SCREEN,UNIVERSAL PRODUCTION MUSIC
KTV,KOKA FOR TV,UNIVERSAL PRODUCTION MUSIC
LO-CD,LO EDITIONS,UNIVERSAL PRODUCTION MUSIC
MAT,MATCH,UNIVERSAL PRODUCTION MUSIC
MHSR,MANNHEIM STEAMROLLER,UNIVERSAL PRODUCTION MUSIC
MSTR,MASTER SOURCE LIBRARY,UNIVERSAL PRODUCTION MUSIC
MXS,XS,UNIVERSAL PRODUCTION MUSIC
NIGHT & NIGHTSE,NIGHTINGALE MUSIC,UNIVERSAL PRODUCTION MUSIC
NM,NETWORK MUSIC,UNIVERSAL PRODUCTION MUSIC
NOVA,NOVA,UNIVERSAL PRODUCTION MUSIC
NUGGETS,NUGGETS,UNIVERSAL PRODUCTION MUSIC
NVS,NIGHTINGALE VOCAL SERIES,UNIVERSAL PRODUCTION MUSIC
NYB,NYB,UNIVERSAL PRODUCTION MUSIC
OM,ONEMUSIC,UNIVERSAL PRODUCTION MUSIC
PKT,SOUND POCKET MUSIC,UNIVERSAL PRODUCTION MUSIC
PML,POINT,UNIVERSAL PRODUCTION MUSIC
PN8CD,PLAN 8 MUSIC,UNIVERSAL PRODUCTION MUSIC
RCAL,RCAL,UNIVERSAL PRODUCTION MUSIC
RCF,REALITY BY C. FRANKE,UNIVERSAL PRODUCTION MUSIC
RCR,ROADSIDE COUCH RECORDS,UNIVERSAL PRODUCTION MUSIC
RDR,RADAR,UNIVERSAL PRODUCTION MUSIC
RNM,REVERBNATION MUSIC,UNIVERSAL PRODUCTION MUSIC
SA,SARAOMUSIC,UNIVERSAL PRODUCTION MUSIC
SDN,SCORE ADDICTION,UNIVERSAL PRODUCTION MUSIC
SEE,SEE,UNIVERSAL PRODUCTION MUSIC
SFCB,STRANGE FRUIT COMMERCIAL BREAKS,UNIVERSAL PRODUCTION MUSIC
SFT,STRANGE FRUIT,UNIVERSAL PRODUCTION MUSIC
SLAM,SLAM!,UNIVERSAL PRODUCTION MUSIC
SOHO,SOHO,UNIVERSAL PRODUCTION MUSIC
SOHOA,SOHO ARCHIVE,UNIVERSAL PRODUCTION MUSIC
SPOTON,SPOT ON,UNIVERSAL PRODUCTION MUSIC
SVN,SEVENTH SENSE,UNIVERSAL PRODUCTION MUSIC
SXSW,SXSW MUSIC LIBRARY,UNIVERSAL PRODUCTION MUSIC
TRU,TRUE STORIES,UNIVERSAL PRODUCTION MUSIC
ULS,ULTIMATE LATIN SERIES,UNIVERSAL PRODUCTION MUSIC
US,ULTIMATE SERIES,UNIVERSAL PRODUCTION MUSIC
UTS,UNIVERSAL TRAILER SERIES,UNIVERSAL PRODUCTION MUSIC
VL,VELOCITY,UNIVERSAL PRODUCTION MUSIC
VM,VOLTA MUSIC,UNIVERSAL PRODUCTION MUSIC
VTMA,VITAMIN A,UNIVERSAL PRODUCTION MUSIC
WAX,AUDIO WAX,UNIVERSAL PRODUCTION MUSIC
WON,WALL OF NOISE,UNIVERSAL PRODUCTION MUSIC
ZTS,ZERO TO SIXTY,UNIVERSAL PRODUCTION MUSIC
SONIC DOJO,SONIC DOJO,SONIC DOJO
ATS,AND THEN SOME,WEST ONE MUSIC
EDS,ELECTRONIC DANCE SERIES,WEST ONE MUSIC
FEM,FIRED EARTH MUSIC,WEST ONE MUSIC
NRF,NOISE REFINERY,WEST ONE MUSIC
RFM,REFUEL MUSIC,WEST ONE MUSIC
SOO,SOMOS,WEST ONE MUSIC
TSH,THE SCORING HOUSE,WEST ONE MUSIC
WOM,WEST ONE MUSIC,WEST ONE MUSIC
WOMG,WEST ONE MUSIC GROUP,WEST ONE MUSIC
ZRO,ZERO DEGREES,WEST ONE MUSIC
WOOD,WOODCUT PRODUCTION MUSIC LIBRARY,WOODCUT PRODUCTION MUSIC 
